id;type;cat_title;cpi_weight
1;food;Говядина (кроме бескостного мяса);0.78
2;food;Свинина (кроме бескостного мяса);0.84
3;food;Баранина (кроме бескостного мяса);0.18
4;food;Куры охлажденные и мороженые;1.11
5;food;Рыба мороженая неразделанная;0.28
6;food;Сельдь соленая;0.13
7;food;Масло сливочное;0.68
8;food;Масло подсолнечное;0.38
9;food;Маргарин;0.05
10;food;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;0.75
11;food;Сметана;0.49
12;food;Творог нежирный;0.21
13;food;Сыры сычужные твердые и мягкие;0.88
14;food;Яйца куриные;0.51
15;food;Сахар-песок;0.43
16;food;Мука пшеничная;0.26
17;food;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;0.4
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;0.39
19;food;Рис шлифованный;0.23
20;food;Пшено;0.04
21;food;Горох и фасоль;0.03
22;food;Вермишель;0.08
23;food;Картофель;0.42
24;food;Капуста белокочанная свежая;0.18
25;food;Морковь;0.15
26;food;Огурцы свежие;0.41
27;food;Лук репчатый;0.13
28;food;Яблоки;0.55
29;food;Печенье;0.49
30;food;Карамель;0.18
31;food;Чай черный байховый;0.31
32;food;Соль поваренная пищевая;0.03
33;food;Перец черный (горошек);0.09
34;non-food;Ацетилсалициловая кислота (Аспирин отечественный);0.04
35;non-food;Блузка женская;0.24
36;non-food;Ботинки, полуботинки для детей школьного возраста;0.1
37;non-food;Брюки для детей школьного возраста из джинсовой ткани;0.07
38;non-food;Брюки мужские из полушерстяных или смесовых тканей;0.12
39;non-food;Джемпер для детей школьного возраста;0.06
40;non-food;Джемпер женский;0.21
41;non-food;Джемпер мужской;0.12
42;non-food;Колготки детские;0.03
43;non-food;Колготки женские эластичные плотностью 15-20 DEN;0.08
44;non-food;Комплект постельного белья 1,5 спального из хлопчатомажной ткани;0.18
45;non-food;Корвалол;0.06
46;non-food;Костюм-двойка мужской из шерстяных, полушерстяных или смесовых тканей;0.14
47;non-food;Кроссовые туфли для детей с верхом из искусственной кожи;0.09
48;non-food;Метамизол натрия (Анальгин отечественный);0.06
49;non-food;Мыло туалетное;0.07
50;non-food;Мыло хозяйственное;0.05
51;non-food;Носки мужские;0.08
52;non-food;Одеяло стеганое;0.09
53;non-food;Пальто женское демисезонное из шерстяных или полушерстяных тканей;0.18
54;non-food;Платье (сарафан) летнее для девочек дошкольного возраста;0.05
55;non-food;Подушка;0.05
56;non-food;Полуботинки, туфли мужские с верхом из натуральной кожи;0.2
57;non-food;Порошок стиральный;0.41
58;non-food;Сапоги женские зимние с верхом из натуральной кожи;0.36
59;non-food;Сорочка верхняя для мальчиков школьного возраста;0.05
60;non-food;Сорочка верхняя мужская из хлопчатобумажных или смесовых тканей;0.25
61;non-food;Халат женский из хлопчатобумажных;0.08
62;non-food;Телевизор цветного изображения;0.38
63;non-food;Туфли женские закрытые с верхом из натуральной кожи;0.13
64;non-food;Футболка детская;0.04
65;non-food;Шампунь;0.31
66;services;Абонентская плата за неограниченный объем местных телефонных соединений;0.12
67;services;Помывка в бане в общем отделении;0.08
68;services;Постановка набоек;0.05
69;services;Проезд в городском муниципальном автобусе;0.28
70;services;Стрижка модельная в женском зале;0.59
71;services;Проезд в троллейбусе;0.08
72;non-food;Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру;0.4
73;non-food;Холодильники и морозильники бытовые;0.26
74;non-food;Машины стиральные;0.24
75;non-food;Электропылесосы;0.09
76;food;Крупа гречневая-ядрица;0.14
77;non-food;Медицинские маски;0