id;mask_not_process;type;title;unit;req_amount;globus_method;globus_url;keyword;perekrestok_method;perekrestok_url;okey_method;okey_url;ashan_method;ashan_url;utkonos_method;utkonos_url;lamoda_method;lamoda_url;keywords_cons;keywords_pro;mask_checked;fatcontent;gks_method;gks_id
1;;прод;Говядина (кроме бескостного мяса);кг;15;byurls;https://online.globus.ru/search/?section_id=3782&q=%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;говядина;byurls;https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina?;byurls; https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-700000000000000965910431086107411031076108010851072&facet=ads_f16002_ntk_cs%3A%22%D0%93%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0%22;skip;;byurls;https://www.utkonos.ru/cat/8;skip;;фарш|\bбез\s+кости|\bбескостн|\bнарез|\bфиле|\bазу\b|\bгуляш|\bдля\s+плова|\bбекон|\bмедальоны|\bколбас|\bсосиск|\bсардельк|\bмякоть|\bбургер|\bкупаты|\bэскалоп|\bшашлык|\bфрикадельк|\bб\s*/\s*к|\bмякоть;\bгрудинк|\bлопатк|\bна\s*кост(?:и|очке)|\bр[её]бр|\bтазоб[её]др|\bс\s+костью|\bкорейка|\bокорок|\bседло|\b[сн]\s*/\s*к|\bголяшк|\bше[яй];;;skip;111
2;;прод;Свинина (кроме бескостного мяса);кг;4;byurls;https://online.globus.ru/search/?section_id=3784&q=%D1%81%D0%B2%D0%B8%D0%BD%D0%B8%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_982_4092328740=Y&set_filter=Y&count=64;свинина;byurls;https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/svinina?;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-70000000000000096591057107410801085108010851072&facet=ads_f16002_ntk_cs%3A%22%D0%A1%D0%B2%D0%B8%D0%BD%D0%B8%D0%BD%D0%B0%22;skip;;byurls;https://www.utkonos.ru/cat/2293;skip;;фарш|\bбез\s+кости|\bбескостн|\bнарез|\bфиле|\bазу\b|\bгуляш|\bдля\s+плова|\bбекон|\bмедальоны|\bколбас|\bсосиск|\bсардельк|\bмякоть|\bбургер|\bкупаты|\bэскалоп|\bшашлык|\bфрикадельк|\bб\s*/\s*к|\bмякоть;\bгрудинк|\bлопатк|\bна\s*кост(?:и|очке)|\bр[её]бр|\bтазоб[её]др|\bс\s+костью|\bкорейка|\bокорок|\bседло|\b[сн]\s*/\s*к|\bголяшк|\bше[яй];;;skip;113
3;;прод;Баранина (кроме бескостного мяса);кг;1.8;byurls;https://online.globus.ru/search/?section_id=3788&q=%D0%B1%D0%B0%D1%80%D0%B0%D0%BD%D0%B8%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;баранина;byurls;https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/baranina?;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713;skip;;byurls;https://www.utkonos.ru/cat/2294;skip;;фарш|\bбез\s+кости|\bбескостн|\bнарез|\bфиле|\bазу\b|\bгуляш|\bдля\s+плова|\bбекон|\bмедальоны|\bколбас|\bсосиск|\bсардельк|\bмякоть|\bбургер|\bкупаты|\bэскалоп|\bшашлык|\bфрикадельк|\bб\s*/\s*к|\bмякоть;"\bбара[нш];\bгрудинк|\bлопатк|\bна\s*кост(?:и|очке)|\bр[её]бр|\bтазоб[её]др|\bс\s+костью|\bкорейка|\bокорок|\bседло|\b[сн]\s*/\s*к|\bголяшк|\bше[яй]";;;skip;116
4;;прод;Куры охлажденные и мороженые;кг;14;byurls;https://online.globus.ru/search/?section_id=655&q=%D0%BA%D1%83%D1%80%D0%B8%D1%86%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;курица;byurls;https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/myaso-ptitsy?attr%5B1878%5D%5B%5D=kuritsa;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-7000000000000009659105010911088108010941072&facet=ads_f16002_ntk_cs%3A%22%D0%9A%D1%83%D1%80%D0%B8%D1%86%D0%B0%22;skip;;byurls;https://www.utkonos.ru/cat/9;skip;;\bбедр[оаы]|\bголен|\bкрылышк|\bкрылья|\bкрыло|\bфиле|\bгрудка|\bокорочок|\bкотлет|\bколбас|\bсосиск|\bчевапчич|\bнабор|\bсердц|\bжелудо?к|\bкупат|\bстейк|\bшашлык|\bбургер|\bшарик|\bиндейк|\bшницел|\bмедальон|\bполуфабрик|\bазу|\bпечень|\bкорнишон|\bассорти|\bокорок;;;;skip;114
5;;прод;Рыба мороженая неразделанная;кг;14;byurls;https://online.globus.ru/search/?section_id=659&q=%D1%80%D1%8B%D0%B1%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 ;рыба;byurls;https://www.perekrestok.ru/catalog/zamorojennye-produkty/ryba?attr%5B1903%5D%5B%5D=ryba;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16583&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-700000000000002465110581091109610821072321085107710871086109010881086109610771085108510721103,-7000000000000009658104710721084108610881086107810771085108510721103&facet=ads_f20505_ntk_cs%3A%22%D0%A2%D1%83%D1%88%D0%BA%D0%B0+%D0%BD%D0%B5%D0%BF%D0%BE%D1%82%D1%80%D0%BE%D1%88%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F%22,ads_f16001_ntk_cs%3A%22%D0%97%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F%22&ffcId=13151&catalogId=12051;skip;;byurls;https://www.utkonos.ru/cat/4190;skip;;\bохл\.?\b|\bохлажд|\bфиле|\bбез\s+головы|\bбез\s+кожи|\bб\s*/\s*г|\bкреветк|\bмиди|\bкальмар|\bварено|\bпотр;;;;skip;411
6;;прод;Сельдь соленая;кг;0.7;byurls;https://online.globus.ru/search/?section_id=670&q=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_848_25111632=Y&searchFilter_880_1706429935=Y&set_filter=Y&count=64;сельдь;byurls;https://www.perekrestok.ru/catalog/ryba-i-moreprodukty/ryba-solenaya?attr%5B1602%5D%5B%5D=seld;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%4035e335e3&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&resultsPerPage=72&emsName=&facet=&categoryId=16572&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-700000000000002465110551088107710891077108810741099,-7000000000000009659105710771083110010761100&facet=ads_f20505_ntk_cs%3A%22%D0%9F%D1%80%D0%B5%D1%81%D0%B5%D1%80%D0%B2%D1%8B%22,ads_f16002_ntk_cs%3A%22%D0%A1%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C%22 https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%4073b873b8&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&resultsPerPage=72&emsName=&facet=&categoryId=16586&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-70000000000000091511057108610831077108510721103&facet=ads_f16004_ntk_cs%3A%22%D0%A1%D0%BE%D0%BB%D0%B5%D0%BD%D0%B0%D1%8F%22;skip;;byurls;https://www.utkonos.ru/cat/79-128-735;skip;;\bфоршмак;;;;skip;501
7;;прод;Масло сливочное;кг;1.8;byurls;https://online.globus.ru/search/?section_id=621&q=%D0%A1%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5+%D0%BC%D0%B0%D1%81%D0%BB%D0%BE&count=64;масло сливочное;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/slivochnoe-maslo-i-margarin?attr%5B1853%5D%5B%5D=maslo-slivochnoe;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%4012611261&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D0%BC%D0%B0%D1%81%D0%BB%D0%BE+%D1%81%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5&resultsPerPage=72&emsName=&categoryId=16101&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-70000000000000246511052107210891083108632108910831080107410861095108510861077&facet=ads_f20505_ntk_cs%3A%22%D0%9C%D0%B0%D1%81%D0%BB%D0%BE+%D1%81%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5%22;skip;;byurls;https://www.utkonos.ru/cat/15-2207-985556 https://www.utkonos.ru/cat/4261-2207-985556;skip;;"маргарин|спред;\bчесночн;\bшоколад;\bсоленое|\bтопл[её]ное";;;;skip;701
8;;прод;Масло подсолнечное;л;7;byurls;https://online.globus.ru/search/?section_id=729&q=%D0%A0%D0%B0%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5%20%D0%BC%D0%B0%D1%81%D0%BB%D0%BE&searchFilter_1060_3481289395=Y&set_filter=Y&count=64;масло подсолнечное;byurls;https://www.perekrestok.ru/catalog/makarony-krupy-spetsii/maslo-rastitelnoe?attr%5B1586%5D%5B%5D=podsolnechnoe;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%404d3b4d3b&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D0%BC%D0%B0%D1%81%D0%BB%D0%BE+%D0%BF%D0%BE%D0%B4%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B5&resultsPerPage=72&emsName=&facet=&categoryId=16609&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-7000000000000024651105510861076108910861083108510771095108510861077&facet=ads_f20505_ntk_cs%3A%22%D0%9F%D0%BE%D0%B4%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B5%22;byurls;https://www.auchan.ru/pokupki/eda/masla-sousy-zapravki/masla-rastitelnye/podsolnechnoe-maslo.html?limit=96;byurls;https://www.utkonos.ru/cat/43-1411-687607;skip;;"\bтопл[её]ное|\bкукурузн|\bоливк|\bльнян|\bкокосов|\bгорчичн|\bвиноградн|\bкунжутн|\bсоевое;салатн(?:\.?|ая)?\s*заправка;грецкого\s*ореха";;;;skip;801
9;;прод;Маргарин;кг;6;byurls;https://online.globus.ru/search/?q=%D0%BC%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;маргарин;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/slivochnoe-maslo-i-margarin?attr%5B1853%5D%5B%5D=margarin;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16113&storeId=10151&disableProductCompare=false&ddkey=ProductListingView_4_3074457345618263654_3074457345618295928&facetId=-700000000000002465110521072108810751072108810801085&facet=ads_f20505_ntk_cs%3A%22%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD%22;skip;;byurls;https://www.utkonos.ru/cat/15-2207-985544;skip;;\bмасло\b|\bспред|\bтопл[её]н;;;;skip;1001
10;;прод;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;л;110;byurls;https://online.globus.ru/search/?section_id=607&q=%D0%BC%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE&searchFilter_570_1566062185=Y&searchFilter_1414_1964963658=Y&searchFilter_1414_35243996=Y&searchFilter_1414_2601555558=Y&set_filter=Y?&count=64;молоко;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko?attr%5B1667%5D%5Bfrom%5D=2.43&attr%5B1667%5D%5Bto%5D=3.62&attr%5B1831%5D%5B%5D=pasterizovannoe;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16110&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-7000000000000024651105210861083108610821086321082108610881086107411001077&facet=ads_f20505_ntk_cs%3A%22%D0%9C%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE+%D0%BA%D0%BE%D1%80%D0%BE%D0%B2%D1%8C%D0%B5%22;skip;;byurls;https://www.utkonos.ru/cat/11-2207-912019 https://www.utkonos.ru/cat/4261-2207-912019;skip;;"\bкозье;\bкоз\.?\b;\bтопл\.?\b;топленое|топлёное|ультрапастеризованное;\bультрапаст\.?\b;\bутп\.?\b;коктейль;стерилизованное;\bстерил\.?\b";пастеризованное|пастер;1;2.5 3.2;skip;1111
11;;прод;Сметана;кг;1.8;byurls;https://online.globus.ru/search/?section_id=634&q=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=1173&q=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;сметана;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/smetana?;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/SearchDisplay?searchTermScope=&searchType=1000&filterTerm=&maxPrice=&top_category=&showResultsPage=true&langId=-20&beginIndex=0&advancedSearch=&sType=SimpleSearch&metaData=&pageSize=72&manufacturer=&resultCatEntryType=2&catalogId=12051&pageView=grid&searchTerm=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&minPrice=&urlLangId=-20&categoryId=16101&storeId=10151;skip;;byurls;https://www.utkonos.ru/cat/2279 https://www.utkonos.ru/cat/4261-2207-912047;skip;;\bсметанн(?:\.?ый)?\s*прод(?:\.?укт)?|\bпрод(?:\.?укт)?\s*сметанн(?:\.?ый)?;;;;skip;1102
12;;прод;Творог нежирный;кг;10;byurls;https://online.globus.ru/search/?section_id=611&q=%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64&searchFilter_1414_3745925886=Y&searchFilter_1414_1964963658=Y&searchFilter_1414_35243996=Y&searchFilter_1414_2601555558=Y&searchFilter_1414_3960973040=Y&set_filter=Y;творог;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/tvorog-syrki?attr%5B1667%5D%5Bfrom%5D=0&attr%5B1667%5D%5Bto%5D=5.2;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16106&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-70000000000000246511058107410861088108610753210851072109010911088107210831100108510991081,-70000000000000091524837,-700000000000000915248444937,-700000000000000915248445037,-700000000000000915248445337,-70000000000000091524937,-70000000000000091525037,-700000000000000915251445337,-70000000000000091525337,-700000000000000915253445337&facet=ads_f20505_ntk_cs%3A%22%D0%A2%D0%B2%D0%BE%D1%80%D0%BE%D0%B3+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%22,ads_f16501_ntk_cs%3A%220%25%22,ads_f16501_ntk_cs%3A%220%2C1%25%22,ads_f16501_ntk_cs%3A%220%2C2%25%22,ads_f16501_ntk_cs%3A%220%2C5%25%22,ads_f16501_ntk_cs%3A%221%25%22,ads_f16501_ntk_cs%3A%222%25%22,ads_f16501_ntk_cs%3A%223%2C5%25%22,ads_f16501_ntk_cs%3A%225%25%22,ads_f16501_ntk_cs%3A%225%2C5%25%22;skip;;byurls;https://www.utkonos.ru/cat/14 https://www.utkonos.ru/cat/4261-2207-977284;skip;;масса творожная|творожная масса|творожный продукт|сырок|десерт|творожок;;1;0 4;skip;1106
13;;прод;Сыры сычужные твердые и мягкие;кг;2.5;byurls;https://online.globus.ru/search/?section_id=613&q=%D1%81%D1%8B%D1%80+&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=614&q=%D1%81%D1%8B%D1%80+&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;сыр;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/syry?attr%5B1613%5D%5B%5D=myagkiy&attr%5B1613%5D%5B%5D=polutverdyy&attr%5B1613%5D%5B%5D=tverdyy;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16114&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713;skip;;byurls;https://www.utkonos.ru/cat/16-15-189 https://www.utkonos.ru/cat/16-15-191;skip;;;\bроссийск|\bголландск|\bшвейцарск|\bадыгейск;;;skip;1201
14;;прод;Яйца куриные;10 шт.;18;byurls;https://online.globus.ru/search/?section_id=629&q=%D1%8F%D0%B9%D1%86%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_573_2857199108=Y&set_filter=Y&count=64;яйца;byurls;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/yaytso?attr%5B1936%5D%5B%5D=yaytso-kurinoe;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16104&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-70000000000000246511050109110881080108510861077&facet=ads_f20505_ntk_cs%3A%22%D0%9A%D1%83%D1%80%D0%B8%D0%BD%D0%BE%D0%B5%22;skip;;byurls;https://www.utkonos.ru/cat/108-152-934 https://www.utkonos.ru/cat/108-152-930 https://www.utkonos.ru/cat/108-152-929 https://www.utkonos.ru/cat/108-152-933;skip;;\bперепел;;;;skip;1501
15;;прод;Сахар-песок;кг;20;byurls;https://online.globus.ru/search/?q=%D1%81%D0%B0%D1%85%D0%B0%D1%80+%D0%BF%D0%B5%D1%81%D0%BE%D0%BA&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;сахар песок;byurls;https://www.perekrestok.ru/catalog/kofe-chay-sahar/sahar?attr%5B1605%5D%5B%5D=pesok&attr%5B2151%5D%5B%5D=belyy;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=24573&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-700000000000002565110571072109310721088&facet=ads_f20507_ntk_cs%3A%22%D0%A1%D0%B0%D1%85%D0%B0%D1%80%22;byurls;https://www.auchan.ru/pokupki/eda/kofe-chai-sahar/sahar-i-saharozameniteli/sahar-kuskovoj.html?limit=96;byurls;https://www.utkonos.ru/cat/44-1401-687537;skip;;\bтростник|\bкусков|рафинад|\bс?прессов|\bсахарозаменит;;;;skip;1601
16;;прод;Мука пшеничная;кг;20;byurls;https://online.globus.ru/search/?q=%D0%BC%D1%83%D0%BA%D0%B0+%D0%BF%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;мука;byurls;https://www.perekrestok.ru/catalog/makarony-krupy-spetsii/muka?attr%5B1589%5D%5B%5D=pshenichnaya;byurls;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&categoryId=15066&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-70000000000000256511052109110821072,-7000000000000024651105510961077108510801095108510721103;byurls;https://www.auchan.ru/pokupki/eda/bakaleja/muka-i-smesi-dlya-hlebopechek/pshenichnaja-muka.html?limit=96;byurls;https://www.utkonos.ru/cat/45-66-439;skip;;"\bсмесь\s*(?:д/|для\s*)вып(?:е)?;хлебная\s*смесь;\bсмесь\s*хлебная;\bсмесь\s*мучная;фокаччо|десерт|пудинг;\bпицц|\bкекс|\bмаффин|\bоладь|\bхлеб\b";;;;skip;2101
